Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR
20/01/01,Coventry,Everton,1.0,3.0,A,0.0,3.0,A
20/01/01,Derby,Man City,1.0,1.0,D,0.0,0.0,D
20/01/01,Leeds,Newcastle,1.0,3.0,A,1.0,2.0,A
20/01/01,Leicester,Arsenal,0.0,0.0,D,0.0,0.0,D
20/01/01,Liverpool,Middlesbrough,0.0,0.0,D,0.0,0.0,D
20/01/01,Man United,Aston Villa,2.0,0.0,H,0.0,0.0,D
20/01/01,Tottenham,Southampton,0.0,0.0,D,0.0,0.0,D
21/01/01,Sunderland,Bradford,0.0,0.0,D,0.0,0.0,D
22/01/01,Charlton,West Ham,1.0,1.0,D,1.0,0.0,H
24/01/01,Aston Villa,Leeds,1.0,2.0,A,1.0,1.0,D
30/01/01,Arsenal,Bradford,2.0,0.0,H,2.0,0.0,H
30/01/01,Charlton,Derby,2.0,1.0,H,1.0,1.0,D
31/01/01,Chelsea,Newcastle,3.0,1.0,H,1.0,1.0,D
31/01/01,Everton,Middlesbrough,2.0,2.0,D,0.0,1.0,A
31/01/01,Leeds,Coventry,1.0,0.0,H,0.0,0.0,D
31/01/01,Man City,Liverpool,1.0,1.0,D,0.0,1.0,A
31/01/01,Southampton,Leicester,1.0,0.0,H,0.0,0.0,D
31/01/01,Sunderland,Man United,0.0,1.0,A,0.0,0.0,D
31/01/01,West Ham,Tottenham,0.0,0.0,D,0.0,0.0,D
03/02/01,Bradford,Aston Villa,0.0,3.0,A,0.0,0.0,D
03/02/01,Coventry,Arsenal,0.0,1.0,A,0.0,0.0,D
03/02/01,Derby,Sunderland,1.0,0.0,H,1.0,0.0,H
03/02/01,Ipswich,Leeds,1.0,2.0,A,0.0,2.0,A
03/02/01,Leicester,Chelsea,2.0,1.0,H,1.0,0.0,H
03/02/01,Liverpool,West Ham,3.0,0.0,H,2.0,0.0,H
03/02/01,Man United,Everton,1.0,0.0,H,0.0,0.0,D
03/02/01,Middlesbrough,Man City,1.0,1.0,D,0.0,1.0,A
03/02/01,Tottenham,Charlton,0.0,0.0,D,0.0,0.0,D
07/02/01,Everton,Leeds,2.0,2.0,D,1.0,0.0,H
10/02/01,Arsenal,Ipswich,1.0,0.0,H,0.0,0.0,D
10/02/01,Aston Villa,Middlesbrough,1.0,1.0,D,1.0,0.0,H
10/02/01,Chelsea,Man United,1.0,1.0,D,1.0,0.0,H
10/02/01,Everton,Leicester,2.0,1.0,H,2.0,0.0,H
10/02/01,Leeds,Derby,0.0,0.0,D,0.0,0.0,D
10/02/01,Man City,Tottenham,0.0,1.0,A,0.0,0.0,D
10/02/01,Southampton,Bradford,2.0,0.0,H,0.0,0.0,D
10/02/01,Sunderland,Liverpool,1.0,1.0,D,0.0,0.0,D
11/02/01,Charlton,Newcastle,2.0,0.0,H,2.0,0.0,H
12/02/01,West Ham,Coventry,1.0,1.0,D,0.0,0.0,D
24/02/01,Bradford,West Ham,1.0,2.0,A,0.0,1.0,A
24/02/01,Coventry,Charlton,2.0,2.0,D,1.0,1.0,D
24/02/01,Derby,Aston Villa,1.0,0.0,H,1.0,0.0,H
24/02/01,Ipswich,Everton,2.0,0.0,H,0.0,0.0,D
24/02/01,Leicester,Sunderland,2.0,0.0,H,1.0,0.0,H
24/02/01,Middlesbrough,Southampton,0.0,1.0,A,0.0,0.0,D
24/02/01,Newcastle,Man City,0.0,1.0,A,0.0,0.0,D
24/02/01,Tottenham,Leeds,1.0,2.0,A,1.0,1.0,D
25/02/01,Man United,Arsenal,6.0,1.0,H,5.0,1.0,H
03/03/01,Arsenal,West Ham,3.0,0.0,H,3.0,0.0,H
03/03/01,Coventry,Chelsea,0.0,0.0,D,0.0,0.0,D
03/03/01,Derby,Tottenham,2.0,1.0,H,2.0,0.0,H
